ds,yhat,yhat_lower,yhat_upper,Actual Sales
2016-11-24,11440.830662592152,-5913.584695752002,26343.23950853013,0.0
2016-11-25,11354.89332628217,-4181.969897693093,26511.789005763505,0.0
2016-11-26,2973.3286043476855,-12720.340355356206,19400.015920218677,0.0
2016-11-27,4141.435942581362,-12274.975627951522,20257.191510069606,0.0
2016-11-28,14004.481048275873,-1011.642551196466,29224.995061403857,0.0
2016-11-29,13878.93069600455,-2915.991160591246,29555.469915831367,0.0
2016-11-30,11918.251947975703,-3990.180566469472,27807.965564624727,0.0
2016-12-01,10756.567915487873,-4459.028806303692,27546.647367962498,0.0
2016-12-02,9591.060454755889,-6314.259401023717,25564.84702096752,0.0
2016-12-03,144.29595175452778,-14756.766879972707,16194.411656310096,0.0
2016-12-04,280.46544950371026,-14925.366866383774,16489.617577573103,0.0
2016-12-05,9163.421768691893,-7628.108997604446,24218.600662840112,0.0
2016-12-06,8127.538894788739,-7256.682569269984,24950.70013700351,0.0
2016-12-07,5343.146132527672,-11146.343403823577,21454.106123959133,0.0
2016-12-08,3459.837388945056,-12536.874037293659,19233.37790685937,0.0
2016-12-09,1688.5538348505397,-13845.052499638323,16519.719213840002,0.0
2016-12-10,-8236.376516948687,-24932.998900302227,7463.575820050377,0.0
2016-12-11,-8441.244997852267,-24284.435497321574,6709.137753290741,0.0
2016-12-12,244.87501593586057,-15361.266678706932,16278.852756739008,0.0
2016-12-13,-839.1621922695958,-16275.862838298603,15538.666715948519,0.0
2016-12-14,-3521.2361380770453,-19123.8120190265,13042.619140396884,0.0
2016-12-15,-5152.690271873587,-19747.25438269978,11983.86801116456,0.0
2016-12-16,-6526.231609644874,-23395.95756321463,10286.730182268138,0.0
2016-12-17,-15913.816793335947,-32763.948043943023,606.6780552295692,0.0
2016-12-18,-15450.528459456775,-30033.54109478475,582.8161637130348,0.0
2016-12-19,-5976.556559891818,-19816.221828068665,10743.998942872708,0.0
2016-12-20,-6166.258880580408,-20923.57235348232,9845.676426901442,0.0
2016-12-21,-7862.5500154143265,-22365.52382252502,7419.427591530675,0.0
2016-12-22,-8433.322386172818,-24148.088658719473,6847.5012821887485,0.0
2016-12-23,-8689.007109813276,-25413.2011003366,9806.108245172702,19.62
2016-12-24,-16920.099275833312,-32567.601339070206,-1444.4998294088537,0.0
2016-12-25,-15280.659601431315,-30659.09340723078,119.41354866748198,0.0
2016-12-26,-4629.915464984919,-19812.2778298125,12948.98795419476,0.0
2016-12-27,-3660.9439886643704,-19824.611813861924,12778.586855100548,0.0
2016-12-28,-4234.694722525674,-21182.67152986149,11200.699512488245,0.0
2016-12-29,-3736.063489241922,-19150.006570712332,13313.013134127454,0.0
2016-12-30,-2991.1326489180283,-18046.73277338809,12628.866402344409,0.0
2016-12-31,-10304.409119992732,-25214.60165419037,4779.4136358313135,0.0
2017-01-01,-8263.590323385179,-24344.798550356565,6605.891347212344,0.0
2017-01-02,2683.575299219796,-13770.865028538556,19598.255880713114,0.0
2017-01-03,3836.224004868698,-11142.800379936622,19833.464835981,0.0
2017-01-04,3327.9710560672356,-12333.766419592812,18695.88809513791,0.0
2017-01-05,3770.8892233732113,-12407.211878188937,19937.384862989813,707.27
2017-01-06,4338.268203086285,-11310.913157064697,21347.430616915706,988.28
2017-01-07,-3272.675446313089,-18824.980679911474,12406.433783932063,2294.5099999999998
2017-01-08,-1224.1536269721182,-17644.521212540712,15356.76735487639,507.85
2017-01-09,9620.647995681149,-6192.473325065453,25351.149465240505,882.63
2017-01-10,10568.852424014987,-4136.592794859925,27610.6894968375,1571.17
2017-01-11,9763.746393018511,-5706.281683982414,25568.910212037004,2098.78
2017-01-12,9828.500944313622,-6275.559999020761,25556.670347088682,2474.11
2017-01-13,9948.64853322676,-5532.171821649158,25888.00788791752,2712.86
2017-01-14,1834.4932882410103,-15834.687162332018,17109.96788260764,1161.08
2017-01-15,3337.4459319440175,-13301.316165521093,18298.054129730255,3556.48
2017-01-16,13608.166020140261,-1619.551161676371,29199.67944315203,5250.16
2017-01-17,13967.536500826813,-1865.5801529811367,29810.34557491993,4548.07
2017-01-18,12572.222514732917,-3812.9450929936615,28888.694466368222,4026.84
2017-01-19,12058.113904871556,-3381.591654394367,27639.667744354396,5685.05
2017-01-20,11622.548465665579,-3644.043644968336,28195.886489659784,7893.76
2017-01-21,2986.497839126325,-13991.53654323706,18387.094781841148,6474.96
2017-01-22,4010.712019619463,-11577.80804015347,19511.720446081657,4953.25
2017-01-23,13853.70827690176,-1890.054386107086,29086.09787426349,9818.8
2017-01-24,13842.63389229471,-1520.7732913008304,29117.75210973183,8789.44
2017-01-25,12138.752394895526,-4483.395999213944,27493.77581800209,8961.43
2017-01-26,11380.856933855866,-5566.310086687927,26563.11151148753,18499.27
